h3_id,business_type,center_lon,center_lat,traffic_potential,density_score,norm_competition,competition_penalty,market_validation,residential_score,transport_score,retail_anchor_score,office_score,education_score,poi_shops,poi_cafes,poi_restaurants,poi_competitors,poi_public_transport,poi_offices,poi_residential,poi_education,target_success
h3fallback_9_25d3909e8c96d,pickup_point,37.6197197,55.7558,0.200274,0.244216,0.527633,0.0,1.0,0.117503,0.283469,0.283469,0.133122,0.0,3,1,0,3,1,1,1,0,0.423651
h3fallback_9_963dee2726353,pickup_point,37.624559,55.7558,0.200274,0.244216,0.527633,0.0,1.0,0.117503,0.283469,0.283469,0.133122,0.0,3,1,0,3,1,1,1,0,0.423651
h3fallback_9_c80eaf6e7db7b,pickup_point,37.6173,55.7581581,0.279113,0.302324,0.527633,0.0,1.0,0.117503,0.486583,0.283469,0.248523,0.0,3,1,0,3,2,2,1,0,0.480756
h3fallback_9_9dffd9ba3b735,pickup_point,37.6221394,55.7581581,0.293307,0.32968,0.632121,0.393469,1.0,0.117503,0.486583,0.340759,0.248523,0.0,4,1,0,4,2,2,1,0,0.409287
h3fallback_9_e320a5d7e9b06,pickup_point,37.6269787,55.7581581,0.263812,0.273851,0.393469,0.0,1.0,0.117503,0.486583,0.221199,0.248523,0.0,2,1,0,2,2,2,1,0,0.474084
h3fallback_9_87d8247b6e0a4,pickup_point,37.6197197,55.7605161,0.3146,0.355964,0.632121,0.393469,1.0,0.221199,0.486583,0.340759,0.248523,0.0,4,1,0,4,2,2,2,0,0.437328
h3fallback_9_eefec99ae2d66,pickup_point,37.624559,55.7605161,0.325262,0.355964,0.527633,0.0,1.0,0.221199,0.486583,0.283469,0.248523,0.221199,3,1,0,3,2,2,2,1,0.52314
h3fallback_9_9e665569bb305,pickup_point,37.6173,55.7628742,0.187356,0.213372,0.393469,0.0,1.0,0.117503,0.283469,0.153518,0.248523,0.0,1,1,0,2,1,2,1,0,0.417406
h3fallback_9_cfb3be3aab378,pickup_point,37.6221394,55.7628742,0.250572,0.302324,0.393469,0.0,1.0,0.221199,0.283469,0.221199,0.248523,0.221199,2,1,0,2,1,2,2,1,0.474856
h3fallback_9_705ac7f1d1759,pickup_point,37.6269787,55.7628742,0.19332,0.213372,0.221199,0.0,0.5,0.117503,0.283469,0.153518,0.133122,0.221199,1,1,0,1,1,1,1,1,0.37554
h3fallback_9_996d764e124bb,pickup_point,37.6197197,55.7652323,0.07057,0.11308,0.221199,0.0,0.5,0.117503,0.0,0.079956,0.0,0.221199,1,0,0,1,0,0,1,1,0.284563
h3fallback_9_db62804575e96,pickup_point,37.624559,55.7652323,0.153418,0.147856,0.221199,0.0,0.5,0.117503,0.283469,0.079956,0.0,0.221199,1,0,0,1,1,0,1,1,0.342596
